City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Semey,KZ,50.4111,80.2275,17.82,79,0,4.47,clear sky
80,Port Blair,IN,11.6667,92.75,84.24,79,20,4.61,mist
81,Castlegar,CA,49.2998,-117.6689,41.68,95,5,2.15,clear sky
82,Macamic,CA,48.7502,-78.9996,-3.01,100,73,2.66,broken clouds
83,Bambous Virieux,MU,-20.3428,57.7575,77.25,83,20,1.14,few clouds
84,Namie,JP,37.4833,141.0,73.71,67,0,1.01,clear sky
85,New Norfolk,AU,-42.7826,147.0587,62.71,53,100,3.0,overcast clouds
86,Sabang,ID,5.8933,95.3214,81.7,77,13,5.37,few clouds
87,Boueni,YT,-12.9025,45.0761,82.38,71,99,2.21,light rain
88,Ushuaia,AR,-54.8,-68.3,51.46,54,20,14.97,few clouds
89,Tooele,US,40.5308,-112.2983,41.58,82,100,8.05,light rain
90,Cape Canaveral,US,28.4058,-80.6048,70.99,80,0,9.22,clear sky
91,Inta,RU,66.0317,60.1659,15.94,94,100,11.03,overcast clouds
92,Lompoc,US,34.6391,-120.4579,50.77,80,100,11.99,moderate rain
93,Bredasdorp,ZA,-34.5322,20.0403,62.15,88,100,2.26,overcast clouds
94,Butaritari,KI,3.0707,172.7902,80.85,79,12,15.35,light rain
95,Pemangkat,ID,1.1667,108.9667,82.18,72,76,3.38,broken clouds
96,Adrar,MR,20.5022,-10.0711,69.66,17,0,11.43,clear sky
97,Katsuura,JP,35.1333,140.3,65.12,71,28,12.06,scattered clouds
98,Dutse,NG,11.7594,9.3392,75.16,57,92,8.34,overcast clouds
99,Esperance,AU,-33.8667,121.9,75.9,54,60,15.21,broken clouds
100,Pevek,RU,69.7008,170.3133,-11.16,95,100,19.01,light snow
101,Mamallapuram,IN,12.6264,80.1722,84.25,73,15,10.45,few clouds
102,Ketchikan,US,55.3422,-131.6461,45.07,76,40,0.0,scattered clouds
103,Burns Lake,CA,54.2331,-125.7533,44.02,98,100,2.01,overcast clouds
104,Tahe,CN,52.3333,124.7333,17.92,88,100,11.45,light snow
105,Asfi,MA,32.2994,-9.2372,56.48,84,68,12.17,broken clouds
106,Hilo,US,19.7297,-155.09,80.33,76,40,14.97,scattered clouds
107,Moncao,PT,42.0789,-8.4808,54.14,84,100,2.55,overcast clouds
108,Curvelo,BR,-18.7564,-44.4308,69.8,69,6,3.62,clear sky
109,Sola,VU,-13.8833,167.55,81.16,70,93,4.32,overcast clouds
110,Kodino,RU,63.7198,39.6447,23.99,94,100,7.96,light snow
111,Cabo San Lucas,MX,22.8909,-109.9124,76.3,73,0,9.22,clear sky
112,Denpasar,ID,-8.65,115.2167,85.71,74,20,5.75,few clouds
113,Chuy,UY,-33.6971,-53.4616,66.36,61,100,5.23,overcast clouds
114,Bida,NG,9.0833,6.0167,74.88,80,100,9.15,overcast clouds
115,Vaini,TO,-21.2,-175.2,82.56,83,75,6.91,broken clouds
116,Port Hardy,CA,50.6996,-127.4199,48.38,76,40,6.91,scattered clouds
117,Flagstaff,US,35.1981,-111.6513,38.12,97,100,16.11,mist
118,Zaraysk,RU,54.7653,38.8836,34.72,98,100,8.55,overcast clouds
119,Nantucket,US,41.2835,-70.0995,44.71,77,0,12.66,clear sky
120,Erenhot,CN,43.6475,111.9767,22.12,16,0,25.7,clear sky
121,Mongo,TD,12.1844,18.693,84.56,41,100,13.85,overcast clouds
122,Albany,US,42.6001,-73.9662,41.65,62,100,3.36,overcast clouds
123,Qaanaaq,GL,77.484,-69.3632,5.13,57,0,8.88,clear sky
124,East London,ZA,-33.0153,27.9116,65.3,66,20,5.68,few clouds
125,Lensk,RU,60.7253,114.9278,11.73,84,100,10.47,overcast clouds
126,Iqaluit,CA,63.7506,-68.5145,-13.27,75,20,0.0,few clouds
127,Ponta Do Sol,PT,32.6667,-17.1,62.71,65,1,5.39,clear sky
128,Bati,ET,11.1833,40.0167,59.31,77,26,1.43,scattered clouds
129,Tual,ID,-5.6667,132.75,83.28,70,100,3.47,overcast clouds
