City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Tasiilaq,GL,65.6145,-37.6368,10.49,69,8,2.86,clear sky
79,Luena,AO,-11.7833,19.9167,63.03,94,99,3.56,light rain
80,Banda Aceh,ID,5.5577,95.3222,78.89,79,74,3.87,broken clouds
81,Butaritari,KI,3.0707,172.7902,80.8,78,98,17.13,light rain
82,Bara,NG,10.3744,10.7288,89.24,24,99,7.09,overcast clouds
83,Mbumi,TZ,-7.9058,39.2105,72.41,98,100,3.49,overcast clouds
84,Souillac,MU,-20.5167,57.5167,77.5,86,10,6.24,clear sky
85,Novikovo,RU,51.1537,37.8879,38.52,82,7,6.02,clear sky
86,Kisangani,CD,0.5167,25.2,73.65,77,96,3.38,overcast clouds
87,Jamestown,US,42.097,-79.2353,55.02,32,0,15.01,clear sky
88,Sao Filipe,CV,14.8961,-24.4956,72.99,74,4,11.5,clear sky
89,Khatanga,RU,71.9667,102.5,-4.43,87,100,9.13,overcast clouds
90,Quatre Cocos,MU,-20.2078,57.7625,76.08,78,10,6.85,clear sky
91,Kavieng,PG,-2.5744,150.7967,80.64,73,10,5.77,clear sky
92,Preeceville,CA,51.95,-102.6677,12.52,88,100,8.3,overcast clouds
93,Staryy Nadym,RU,65.6118,72.6842,31.69,97,100,21.65,light snow
94,Leningradskiy,RU,69.3833,178.4167,-9.06,97,100,25.84,light snow
95,Kahului,US,20.8947,-156.47,81.97,67,0,13.0,clear sky
96,Mehamn,NO,71.0357,27.8492,22.91,63,75,16.11,light snow
97,Homer,US,59.6425,-151.5483,35.47,86,100,5.75,overcast clouds
98,Palmer,US,42.1584,-72.3287,60.17,27,20,11.5,few clouds
99,Poum,NC,-20.2333,164.0167,77.67,74,88,8.55,overcast clouds
100,Chokurdakh,RU,70.6333,147.9167,-14.78,96,100,19.28,light snow
101,Thompson,CA,55.7435,-97.8558,16.5,86,100,7.87,overcast clouds
102,Labuhan,ID,-6.8844,112.2051,78.31,82,31,2.66,scattered clouds
103,Jalu,LY,29.0331,21.5482,75.6,12,100,12.46,overcast clouds
104,Grindavik,IS,63.8424,-22.4338,34.27,86,75,25.32,light snow
105,Georgetown,MY,5.4112,100.3354,80.53,89,20,0.0,few clouds
106,Mahebourg,MU,-20.4081,57.7,77.25,80,15,6.46,few clouds
107,Fortuna,US,40.5982,-124.1573,50.34,80,0,0.0,clear sky
108,Syracuse,IT,37.0881,15.2792,56.57,81,0,17.36,clear sky
109,Longyearbyen,SJ,78.2186,15.6401,-0.56,60,75,10.36,broken clouds
110,Nishihara,JP,26.1842,127.7558,73.06,94,100,19.57,overcast clouds
111,Parabel,RU,58.6978,81.4825,17.26,96,87,8.43,overcast clouds
112,Kiunga,PG,-6.1219,141.2906,72.82,100,100,1.77,heavy intensity rain
113,Gobabis,NA,-22.45,18.9667,66.76,58,84,19.62,light rain
114,Isangel,VU,-19.55,169.2667,78.06,81,100,12.35,overcast clouds
115,Halifax,CA,44.6453,-63.5724,50.68,53,40,12.66,scattered clouds
116,Kapaa,US,22.0752,-159.319,77.32,84,20,12.66,few clouds
117,Sitka,US,57.0531,-135.33,39.09,70,75,3.44,broken clouds
118,Taksimo,RU,56.3444,114.8794,-6.0,87,100,3.49,overcast clouds
119,Hithadhoo,MV,-0.6,73.0833,82.53,75,100,7.11,overcast clouds
120,Komsomolskiy,UZ,40.4272,71.7189,50.72,71,86,6.91,overcast clouds
121,Kaitangata,NZ,-46.2817,169.8464,46.58,88,100,6.89,overcast clouds
122,Ponta Do Sol,PT,32.6667,-17.1,66.7,72,18,4.9,few clouds
123,Biak,ID,-0.9131,122.8766,76.05,84,100,2.71,overcast clouds
124,Mazagao,BR,-0.115,-51.2894,84.25,76,86,5.23,overcast clouds
125,Morondava,MG,-20.2833,44.2833,80.1,79,0,7.29,clear sky
126,Iqaluit,CA,63.7506,-68.5145,-4.31,70,12,13.0,few clouds
127,Upernavik,GL,72.7868,-56.1549,-11.92,92,98,2.59,overcast clouds
128,Mount Isa,AU,-20.7333,139.5,76.77,69,97,3.44,light rain
129,Manokwari,ID,-0.8667,134.0833,78.28,81,100,3.83,overcast clouds
130,New Norfolk,AU,-42.7826,147.0587,55.71,70,100,0.85,overcast clouds
131,Hamilton,US,39.1834,-84.5333,59.85,26,100,16.11,overcast clouds
132,Sapa,PH,5.1544,120.3241,78.76,86,99,6.53,overcast clouds
133,Arman,RU,59.7,150.1667,-8.34,86,91,8.05,overcast clouds
134,Krasnoselkup,RU,65.7,82.4667,26.2,94,100,30.06,light snow
135,Piacabucu,BR,-10.4056,-36.4344,82.22,70,96,13.49,moderate rain
136,Cifuentes,CU,22.645,-80.0461,80.91,61,75,16.11,broken clouds
137,Durban,ZA,-29.8579,31.0292,77.02,90,100,8.01,overcast clouds
138,Yulara,AU,-25.2406,130.9889,77.65,38,6,11.1,clear sky
139,Abha,SA,18.2164,42.5053,52.05,47,0,5.75,clear sky
140,Mayo,US,38.8876,-76.5119,65.21,25,0,14.97,clear sky
141,Glenwood Springs,US,39.5505,-107.3248,40.01,71,100,6.91,overcast clouds
142,Potosi,BO,-19.5836,-65.7531,54.19,40,90,13.22,overcast clouds
143,Bathsheba,BB,13.2167,-59.5167,81.21,69,75,21.85,broken clouds
144,Kaseda,JP,31.4167,130.3167,62.58,86,100,18.19,overcast clouds
145,Leh,IN,34.1667,77.5833,18.01,77,71,2.04,broken clouds
146,Victoria,HK,22.2855,114.1577,77.05,89,99,1.99,overcast clouds
147,Burgeo,CA,47.6167,-57.6152,31.96,72,72,22.88,broken clouds
148,Vardo,NO,70.3705,31.1107,22.98,80,75,20.71,broken clouds
149,Yar-Sale,RU,66.8333,70.8333,29.1,84,100,13.76,overcast clouds
150,Rocha,UY,-34.4833,-54.3333,72.41,44,43,10.85,scattered clouds
151,Washougal,US,45.5826,-122.3534,57.38,72,0,8.99,clear sky
152,Torrington,US,41.8007,-73.1212,60.94,31,20,5.99,few clouds
153,Clyde River,CA,70.4692,-68.5914,-3.77,71,0,10.36,clear sky
154,East London,ZA,-33.0153,27.9116,70.05,65,16,7.52,few clouds
155,Bambous Virieux,MU,-20.3428,57.7575,77.22,78,14,6.38,few clouds
156,Karpogory,RU,64.0019,44.4451,10.02,99,100,2.3,overcast clouds
157,Ambilobe,MG,-13.2,49.05,75.67,85,73,3.78,broken clouds
158,Kyabe,TD,9.4515,18.9449,88.16,36,2,2.24,clear sky
159,Tilichiki,RU,60.4667,166.1,-23.75,85,2,4.45,clear sky
160,Mecca,SA,21.4267,39.8261,69.22,47,0,9.57,clear sky
161,Erzincan,TR,39.75,39.5,42.1,65,20,12.66,few clouds
162,Bethel,US,41.3712,-73.414,62.02,27,0,8.05,clear sky
163,Touros,BR,-5.1989,-35.4608,82.85,68,48,6.51,light rain
164,Jasper,US,37.2001,-94.3502,46.31,86,100,10.36,overcast clouds
165,General Pico,AR,-35.6566,-63.7568,67.1,69,100,8.3,overcast clouds
166,Adrar,MR,20.5022,-10.0711,81.43,10,0,7.72,clear sky
167,Dalianwan,CN,39.0286,121.695,41.04,87,100,6.71,mist
168,Lafia,NG,8.4833,8.5167,77.92,71,100,7.2,light rain
169,Dhidhdhoo,MV,6.8833,73.1,82.42,67,98,7.92,overcast clouds
170,Meadville,US,41.6414,-80.1515,56.05,28,0,8.05,clear sky
171,Baykit,RU,61.67,96.37,-12.44,100,100,0.83,overcast clouds
172,Maholi,IN,27.6667,80.4667,63.07,75,0,4.14,clear sky
173,Taoudenni,ML,22.6783,-3.9836,81.95,18,0,8.81,clear sky
174,Thyolo,MW,-16.0678,35.1405,64.4,96,48,2.26,scattered clouds
175,Celestun,MX,20.8667,-90.4,82.49,52,0,13.35,clear sky
176,Gimli,CA,50.6336,-96.9907,24.94,80,98,9.46,overcast clouds
177,Alofi,NU,-19.0595,-169.9187,79.56,80,96,13.56,light rain
178,Castro,BR,-24.7911,-50.0119,79.05,60,27,3.53,scattered clouds
179,Udayagiri,IN,20.1333,84.3833,67.93,74,100,1.81,overcast clouds
180,Cabo San Lucas,MX,22.8909,-109.9124,83.61,64,0,9.75,clear sky
181,San Rafael,AR,-34.6177,-68.3301,72.86,59,12,8.48,few clouds
182,Bubaque,GW,11.2833,-15.8333,76.78,72,6,16.42,clear sky
183,Najran,SA,17.4924,44.1277,68.65,29,0,5.55,clear sky
184,Tura,IN,25.5198,90.2201,61.54,92,79,3.0,broken clouds
185,Lagoa,PT,39.05,-27.9833,60.03,93,100,18.72,overcast clouds
186,Pisco,PE,-13.7,-76.2167,82.45,61,0,9.22,clear sky
187,Mazatlan,MX,23.2167,-106.4167,82.36,60,0,6.91,clear sky
188,Faya,SA,18.3851,42.4509,52.32,31,15,4.81,few clouds
189,Sola,VU,-13.8833,167.55,80.67,78,100,10.36,overcast clouds
190,Hornepayne,CA,49.2138,-84.7705,17.91,76,26,4.47,scattered clouds
191,Talnakh,RU,69.4865,88.3972,20.21,90,100,23.67,snow
192,Duluth,US,46.7833,-92.1066,33.06,71,0,27.63,clear sky
193,Antofagasta,CL,-23.65,-70.4,76.28,70,3,7.36,clear sky
194,Saldanha,ZA,-33.0117,17.9442,64.29,86,6,9.84,clear sky
195,Pindiga,NG,9.9833,10.9333,89.53,31,100,4.61,overcast clouds
196,Altamira,BR,-3.2033,-52.2064,77.31,85,100,3.24,overcast clouds
197,Tiksi,RU,71.6872,128.8694,-20.24,96,42,12.91,scattered clouds
198,Pangody,RU,65.85,74.4859,30.63,97,100,21.74,snow
199,Turukhansk,RU,65.8167,87.9833,19.76,91,100,24.94,overcast clouds
200,Mira,IT,45.4358,12.1348,61.14,69,0,4.61,clear sky
201,Luchegorsk,RU,46.4764,134.2569,33.33,86,0,2.73,clear sky
202,Esperance,AU,-33.8667,121.9,63.7,82,31,15.57,scattered clouds
203,Sungairaya,ID,0.7,108.9,76.15,87,97,3.49,overcast clouds
204,Alice,US,27.7523,-98.0697,73.13,97,100,10.36,mist
205,Dingle,PH,10.9995,122.6711,71.6,82,2,6.06,clear sky
206,Puerto Escondido,MX,15.85,-97.0667,88.63,62,0,6.91,clear sky
207,Kanker,IN,20.2719,81.4931,73.78,56,71,4.03,broken clouds
208,Luanda,AO,-8.8368,13.2343,82.4,69,20,11.5,few clouds
209,Umm Kaddadah,SD,13.6017,26.6876,75.65,11,6,12.28,clear sky
210,Hondo,JP,32.45,130.2,59.65,89,100,5.61,light rain
211,Omsukchan,RU,62.5333,155.8,-27.85,100,30,3.83,scattered clouds
212,Ardakan,IR,32.31,54.0175,62.94,26,72,16.15,broken clouds
213,Boa Vista,BR,2.8197,-60.6733,91.38,35,40,12.66,scattered clouds
214,Alice Springs,AU,-23.7,133.8833,67.55,42,0,5.75,clear sky
215,Hualmay,PE,-11.0964,-77.6139,79.56,69,86,8.99,overcast clouds
216,Greeneville,US,36.1632,-82.831,61.38,16,0,7.0,clear sky
217,Qaqortoq,GL,60.7167,-46.0333,34.27,73,15,6.33,few clouds
218,Kodiak,US,57.79,-152.4072,36.91,52,0,12.66,clear sky
219,Necochea,AR,-38.5473,-58.7368,69.31,53,39,10.31,scattered clouds
220,Fukuma,JP,33.7667,130.4667,57.29,95,100,7.18,overcast clouds
221,Bouar,CF,5.934,15.596,70.47,76,100,3.06,overcast clouds
222,Buga,CO,3.9009,-76.2978,87.51,59,67,3.62,broken clouds
223,Port Elizabeth,ZA,-33.918,25.5701,68.09,81,0,21.85,clear sky
224,Pilar,BR,-9.5972,-35.9567,75.13,61,95,10.92,moderate rain
225,Castle Rock,US,39.3722,-104.8561,54.01,17,100,11.01,overcast clouds
226,Kashin,RU,57.3592,37.6081,37.92,99,100,9.64,overcast clouds
227,Waipawa,NZ,-41.4122,175.5153,46.98,90,100,21.07,overcast clouds
228,Road Town,VG,18.4167,-64.6167,84.29,57,20,14.97,few clouds
229,Kenora,CA,49.8167,-94.4337,27.57,36,75,12.66,broken clouds
230,Betare Oya,CM,5.6,14.0833,70.65,88,100,4.38,light rain
231,Lorengau,PG,-2.0226,147.2712,81.1,77,93,7.74,overcast clouds
232,Umba,RU,66.6871,34.3429,24.53,97,100,6.26,light snow
233,Fereydun Kenar,IR,36.6864,52.5225,53.82,94,100,6.91,light rain
234,Angoram,PG,-4.0625,144.0661,73.08,99,58,0.94,broken clouds
235,Newcastle,AU,-32.9272,151.7765,67.78,90,40,5.75,scattered clouds
236,Dakar,SN,14.6937,-17.4441,74.28,82,0,15.79,clear sky
237,Nome,US,64.5011,-165.4064,24.87,86,100,13.8,overcast clouds
238,San Carlos De Bariloche,AR,-41.1456,-71.3082,69.55,32,40,13.8,scattered clouds
239,Marrakesh,MA,31.6315,-8.0083,77.07,25,0,8.05,clear sky
240,Jumla,NP,29.2747,82.1838,41.7,95,100,1.36,overcast clouds
241,Puerto Quijarro,BO,-17.7833,-57.7667,75.24,95,100,6.46,light rain
242,Walvis Bay,NA,-22.9575,14.5053,63.55,88,0,9.22,clear sky
243,Fenyi,CN,27.8112,114.6681,61.48,99,100,1.32,overcast clouds
244,Beringovskiy,RU,63.05,179.3167,1.2,81,100,15.32,overcast clouds
245,Roros,NO,62.5747,11.3842,26.44,59,0,3.44,clear sky
246,Henties Bay,NA,-22.116,14.2845,62.56,88,0,9.42,clear sky
247,Carnarvon,AU,-24.8667,113.6333,74.79,81,50,11.74,scattered clouds
248,Eshowe,ZA,-28.8865,31.4699,69.03,94,100,2.89,overcast clouds
249,Diplo,PK,24.4667,69.584,76.39,67,0,12.71,clear sky
250,Sangar,RU,63.9242,127.4739,-41.84,99,40,1.68,scattered clouds
251,Guliston,UZ,40.4897,68.7842,58.37,60,7,6.35,clear sky
252,Saint Joseph,US,39.7686,-94.8466,44.2,86,100,17.27,overcast clouds
253,Teya,RU,60.3778,92.6267,-6.59,100,85,4.23,overcast clouds
254,Asau,RO,46.4333,26.4,49.28,88,100,2.3,overcast clouds
255,Hailar,CN,49.2,119.7,33.3,75,100,7.0,overcast clouds
256,Bengkulu,ID,-3.8004,102.2655,75.94,91,100,4.29,overcast clouds
257,Dunedin,NZ,-45.8742,170.5036,46.72,87,78,12.53,broken clouds
258,Raga,SS,8.4596,25.678,82.63,15,94,3.02,overcast clouds
259,San Cristobal,VE,7.7669,-72.225,77.18,38,94,4.81,overcast clouds
260,Cayenne,GF,4.9333,-52.3333,82.44,74,75,13.8,broken clouds
261,Takoradi,GH,4.8845,-1.7554,81.55,81,98,12.68,overcast clouds
262,Richards Bay,ZA,-28.783,32.0377,76.37,90,100,7.36,overcast clouds
263,Shorewood,US,41.52,-88.2017,55.81,51,100,13.8,overcast clouds
264,Vao,NC,-22.6667,167.4833,76.66,70,9,16.35,clear sky
265,Bereda,ES,43.2686,-7.5406,48.56,78,100,3.36,overcast clouds
266,Normandin,CA,48.8333,-72.5321,26.73,43,100,5.75,overcast clouds
267,Ciudad Real,ES,39.0,-4.0,62.91,39,0,6.8,clear sky
268,Gladstone,AU,-23.85,151.25,73.33,68,40,4.61,scattered clouds
269,Coari,BR,-4.085,-63.1414,85.12,65,96,2.86,overcast clouds
270,Chato,TZ,-2.6378,31.7669,65.75,81,100,2.64,overcast clouds
271,Emba,KZ,48.8264,58.1442,35.85,51,9,7.07,clear sky
272,Kutum,SD,14.2,24.6667,74.84,11,6,12.91,clear sky
273,Tuma,RU,55.148,40.5537,31.82,93,14,6.69,few clouds
274,Hirara,JP,24.8,125.2833,75.47,94,75,12.66,broken clouds
275,Kirakira,SB,-10.4544,161.9205,78.33,87,96,2.46,light rain
276,Impfondo,CG,1.6381,18.0667,76.01,69,80,3.38,broken clouds
277,Balikpapan,ID,-1.2675,116.8289,77.99,94,40,3.44,scattered clouds
278,Shekhupura,PK,31.7131,73.9783,66.25,84,59,1.61,broken clouds
279,Luderitz,NA,-26.6481,15.1594,63.64,78,22,16.73,few clouds
280,Arsenyev,RU,44.1631,133.2733,32.54,90,13,2.35,few clouds
281,Loa Janan,ID,-0.583,117.095,72.99,98,100,0.6,overcast clouds
282,Vadso,NO,70.0744,29.7487,23.88,73,75,16.11,light snow
283,Skibbereen,IE,51.55,-9.2667,52.11,95,100,32.08,light rain
284,Goure,NE,13.9835,10.2704,82.72,28,100,5.73,overcast clouds
285,Phangnga,TH,8.4509,98.5298,77.04,83,100,1.21,overcast clouds
286,Waddan,LY,29.1614,16.139,73.26,31,34,10.89,light rain
287,Kruisfontein,ZA,-34.0033,24.7314,65.88,79,0,12.59,clear sky
288,Whitehorse,CA,60.7161,-135.0538,34.57,55,20,11.5,few clouds
289,Yibin,CN,28.7667,104.6238,66.18,69,100,3.31,overcast clouds
290,Qunduz,AF,36.729,68.857,62.49,46,0,0.94,clear sky
291,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.47,95,100,0.94,overcast clouds
292,Krasnouralsk,RU,58.3638,60.0407,34.81,94,100,11.45,overcast clouds
293,Bagdarin,RU,54.4333,113.6,2.97,77,100,7.96,overcast clouds
294,Verkhnyaya Inta,RU,65.9811,60.3094,13.23,98,100,4.7,overcast clouds
295,Hasaki,JP,35.7333,140.8333,53.22,81,100,3.0,overcast clouds
296,Villanueva,HN,15.3167,-88.0,87.04,65,75,12.66,broken clouds
297,Manoel Urbano,BR,-8.8389,-69.2597,86.2,72,85,0.27,overcast clouds
298,Morros,BR,-9.4467,-46.3003,77.65,78,98,4.12,overcast clouds
299,Mae Sai,TH,20.4335,99.8762,72.99,49,9,2.64,clear sky
300,Chipinge,ZW,-20.1883,32.6236,59.49,89,2,4.56,clear sky
301,Pochinki,RU,54.6988,44.8668,33.51,95,100,6.69,overcast clouds
302,Uva,RU,56.9908,52.1852,36.3,96,100,9.13,overcast clouds
303,Ganzhou,CN,28.8184,115.4327,59.56,97,100,3.29,overcast clouds
304,Nigran,ES,42.1415,-8.8066,57.04,76,20,2.3,few clouds
305,Tigil,RU,57.8,158.6667,22.15,97,100,3.78,snow
306,Barinas,VE,8.6226,-70.2075,100.44,28,99,7.2,overcast clouds
307,Taikang,CN,46.8333,124.4167,46.44,65,100,16.58,overcast clouds
308,Bonthe,SL,7.5264,-12.505,79.45,76,5,11.68,clear sky
309,Carutapera,BR,-1.195,-46.02,74.77,93,100,3.53,heavy intensity rain
310,Morehead,US,37.2711,-87.1764,54.0,33,100,12.66,overcast clouds
311,Pevek,RU,69.7008,170.3133,-13.83,96,100,14.63,overcast clouds
312,Dubbo,AU,-32.25,148.6167,62.73,77,40,12.66,scattered clouds
313,Los Algarrobos,PA,8.5,-82.4333,91.81,40,20,20.71,few clouds
314,Manutuke,NZ,-38.6833,177.9167,53.29,89,100,5.82,overcast clouds
315,Kosovo Polje,XK,42.6394,21.0961,49.21,85,75,5.99,broken clouds
316,Eden,US,36.4885,-79.7667,62.78,16,0,0.0,clear sky
317,Moron,AR,-34.6534,-58.6198,77.05,54,100,10.49,overcast clouds
318,Cootamundra,AU,-34.65,148.0333,59.95,76,98,6.33,overcast clouds
319,Akyab,MM,20.15,92.9,75.22,84,5,8.61,clear sky
320,Sarany,RU,58.5,58.8833,31.57,98,100,11.39,light snow
321,Brownsville,US,25.9018,-97.4975,77.09,87,100,13.8,overcast clouds
322,Nemuro,JP,43.3236,145.575,33.82,89,48,8.01,scattered clouds
323,Kongolo,CD,-5.3833,27.0,67.64,98,100,0.92,overcast clouds
324,Bosaso,SO,11.2842,49.1816,82.96,73,22,1.3,few clouds
325,Gravdal,NO,68.1214,13.5031,22.89,74,20,0.0,few clouds
326,Assai,BR,-23.3733,-50.8414,89.46,56,3,1.99,clear sky
327,Gat,IL,31.61,34.7642,59.68,100,1,1.01,clear sky
328,Kyabram,AU,-36.3167,145.05,60.58,96,48,5.28,scattered clouds
329,Gdansk,PL,54.3521,18.6464,44.64,90,75,8.05,broken clouds
330,Middleton,GB,53.55,-2.2,51.98,84,100,11.36,moderate rain
331,Moerai,PF,-22.4333,-151.3333,81.18,74,25,11.23,light rain
332,Bumba,CD,2.1833,22.4667,74.05,78,100,3.31,overcast clouds
333,Oussouye,SN,12.485,-16.5469,80.78,55,7,13.49,clear sky
334,Sangmelima,CM,2.9333,11.9833,68.4,99,100,5.93,heavy intensity rain
335,Lata,PT,40.1629,-8.3327,57.81,88,59,2.44,broken clouds
336,Bela,IN,25.9333,81.9833,68.4,71,9,0.83,clear sky
337,Yuci,CN,37.6803,112.7319,44.35,42,0,11.18,clear sky
338,Kalmar,SE,56.6616,16.3616,40.14,97,100,11.5,light intensity drizzle
339,Kamenka,RU,51.3223,42.7678,42.96,65,100,6.08,overcast clouds
340,Yarada,IN,17.65,83.2667,73.72,94,100,2.3,overcast clouds
341,Rexburg,US,43.826,-111.7897,33.42,74,100,6.91,overcast clouds
342,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,75,21,12.46,few clouds
343,Yelizovo,RU,53.1873,158.3805,17.74,67,20,11.18,few clouds
344,Lalmohan,BD,22.3384,90.7419,74.17,79,90,9.57,overcast clouds
345,Zhifang,CN,30.35,114.3167,53.58,93,100,4.18,moderate rain
346,Matsuura,JP,33.3271,129.721,57.88,91,100,4.52,overcast clouds
347,Kerema,PG,-7.9631,145.7785,77.23,86,96,6.91,overcast clouds
348,Cuamba,MZ,-14.8031,36.5372,69.49,97,100,2.01,light rain
349,Mana,GF,5.6592,-53.7767,80.31,71,28,10.09,scattered clouds
350,Kosa,RU,59.9445,54.9977,33.49,98,100,10.51,snow
351,Juruti,BR,-2.1522,-56.0922,88.54,53,43,1.92,scattered clouds
